,input,output
12,Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2cnc(C(C)(O)C3CCNC3)s2)c1,Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2cnc(C(C)(O)C3CCN(C(=O)OC(C)(C)C)C3)s2)c1
13,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc(COS(C)(=O)=O)ccc2F)CC1,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc(CO)ccc2F)CC1.CS(=O)(=O)Cl
14,CCCC(=O)c1cnc2c(C)cccc2c1Nc1ccccc1OC,CCCC(=O)c1cnc2c(C)cccc2c1Cl.COc1ccccc1N
15,COc1ccc(CN2CCc3nc(NC(=O)N[C@H](C)c4ccccc4)cc4c3c2nn4C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COc1ccc(CN2CCc3nc(Cl)cc4c3c2nn4C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.C[C@@H](NC(N)=O)c1ccccc1
16,CC1=C(c2ccccc2)C(=O)N(C(C)(C)C(=O)CCC(C)Br)CO1,Br.C=CCCC(=O)C(C)(C)N1COC(C)=C(c2ccccc2)C1=O
17,CSc1cc(-n2nc(C)cc2Nc2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2C)ncn1,CSc1cc(-n2nc(C)cc2N)ncn1.Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Br
18,Nc1nccc(Oc2cc(F)ccc2F)c1I,Nc1nccc(Cl)c1I.Oc1cc(F)ccc1F
19,N#CC[C@H](O)c1ccccc1,N#CCC(=O)c1ccccc1
20,CCN(Cc1ccc(CN2CCN(c3ncccc3C(=O)OC(C)C)CC2)cn1)Cc1c(F)cccc1Cl,CC(C)OC(=O)c1cccnc1N1CCNCC1.CCN(Cc1ccc(C=O)cn1)Cc1c(F)cccc1Cl
21,COCCOCOc1c(CC=C(C)CCC(=O)O)c(OC)c(C)c2c1C(=O)OC2,COCCOCOc1c(C/C=C(\C)CCC(=O)OC)c(OC)c(C)c2c1C(=O)OC2
22,Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)O)c(=O)n(C)c(=O)n2CC(C)C,COC(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C
23,Oc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1,COc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1
24,Cc1ccccc1-c1ccc2nc(NC(=O)C(C)(C)C)ccc2c1,CC(C)(C)C(=O)Cl.Cc1ccccc1-c1ccc2nc(N)ccc2c1
25,CC(C)(C)OC(=O)NCCc1ccc(N)cc1F,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NCCc1ccc(N)cc1F
26,O=C(O)CC1Nc2ccc(C(=O)NCc3ncc[nH]3)cc2CN(CCc2ccccc2)C1=O,COC(=O)CC1Nc2ccc(C(=O)NCc3ncc[nH]3)cc2CN(CCc2ccccc2)C1=O
27,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)O)n1,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)OC)n1
28,CCOC(=O)CNc1ccc2c(c1)OCO2,CCOC(=O)CBr.Nc1ccc2c(c1)OCO2
29,CC(C)(C)OC(=O)N1CCC(OCCO)CC1,CC(C)(C)OC(=O)COC1CCN(C(=O)OC(C)(C)C)CC1
30,O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(-c3cccc(CO)c3)cc12,CCCC[Sn](CCCC)(CCCC)c1cccc(CO)c1.O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(Br)cc12
31,Cc1cc(Cl)c(NC(=O)CN2CCN(CCO)CC2)c(Cl)n1,Cc1cc(Cl)c(NC(=O)CBr)c(Cl)n1.OCCN1CCNCC1
32,COc1cc(C(=O)NC2CCN(S(C)(=O)=O)CC2)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CC(F)(F)C(=O)N2C,COc1cc(C(=O)O)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CC(F)(F)C(=O)N2C.CS(=O)(=O)N1CCC(N)CC1
33,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccccc1I,Nc1ccccc1I.O=C(O)Cc1ccc(Cl)c(Cl)c1
34,Oc1cnn(-c2ccc(Br)cc2)n1,CC(=O)Oc1cnn(-c2ccc(Br)cc2)n1
35,C=CCN1CCCC(O)(c2cccc3[nH]ccc23)C1,C=CCBr.OC1(c2cccc3[nH]ccc23)CCCNC1
36,Nc1cc([N+](=O)[O-])ccc1F,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1
37,CCc1noc(CC)c1CSc1nc(C)cc(O)n1,CCc1noc(CC)c1CBr.Cc1cc(O)nc(S)n1
38,CN(C)Cc1cnnn1-c1cccc(C(=O)CC(=O)Nc2cc(C(F)(F)F)c(N3CCOCC3)cc2NC(=O)OC(C)(C)C)c1,CC(C)(C)OC(=O)Nc1cc(N2CCOCC2)c(C(F)(F)F)cc1N.CN(C)Cc1cnnn1-c1cccc(C(=O)CC(=O)OC(C)(C)C)c1
39,O=c1c(F)c(N2CCOCC2)nc2n1CC[C@@H](C(F)(F)F)N2,C1COCCN1.O=c1c(F)c(Cl)nc2n1CC[C@@H](C(F)(F)F)N2
40,CNC(=O)c1ccc2c(c1)CC(=O)N2C1CCN(CC(=O)N2C[C@H]3CCC[C@H]3C2)CC1,CNC(=O)c1ccc2c(c1)CC(=O)N2C1CCNCC1.O=C(CCl)N1C[C@H]2CCC[C@H]2C1
41,CCOC(=O)c1ccc2c(c1)CC(C)(C)C(c1cccc(NC(=O)N3CCOCC3)c1)N2,CCOC(=O)c1ccc2c(c1)CC(C)(C)C(c1cccc(N)c1)N2.O=C(Cl)N1CCOCC1
42,CN1CC(n2nccc2-c2cc(-c3ccccc3C(F)(F)F)ccc2Oc2cc(F)c(S(=O)(=O)Nc3nncs3)cc2Cl)C1,C=O.O=S(=O)(Nc1nncs1)c1cc(Cl)c(Oc2ccc(-c3ccccc3C(F)(F)F)cc2-c2ccnn2C2CNC2)cc1F
43,Cc1nc([C@@H](N)CC2CC2)no1,Cc1nc([C@H](CC2CC2)NC(=O)OC(C)(C)C)no1
44,CCC(c1ccc(CC(C)C)cc1)c1nc(O)c(CCCCO)s1,CCOC(=O)CCCc1sc(C(CC)c2ccc(CC(C)C)cc2)nc1O
45,CCC1(C)C(=O)C(C(=O)NCC(=O)O)=C(O)c2cc(Cl)ccc21,CCC1(C)C(=O)C(C(=O)NCC(=O)OC(C)(C)C)=C(O)c2cc(Cl)ccc21
46,O=C1CCc2ccc(OC3CCNCC3)cc2N1,CC(C)(C)OC(=O)N1CCC(Oc2ccc3c(c2)NC(=O)CC3)CC1
47,NC(=O)COc1ccc(C(=O)CN2CCN(c3ccncc3)CC2)cc1,COC(=O)COc1ccc(C(=O)CN2CCN(c3ccncc3)CC2)cc1.N
48,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3c(c2)Cc2ccccc2-3)CC1,COc1ccccc1N1CCN(CCCCN)CC1.O=C(O)c1ccc2c(c1)Cc1ccccc1-2
49,Cn1ccc(COc2ccc(N)c(NCc3ccc(OC(F)(F)F)cc3F)c2)n1,Cn1ccc(COc2ccc([N+](=O)[O-])c(NCc3ccc(OC(F)(F)F)cc3F)c2)n1
50,Cc1ccc(F)cc1C1CC(=O)N(CC(=O)OC(C)(C)C)C(c2cccc(Cl)c2)C12C(=O)Nc1cc(Cl)ccc12,CC(C)(C)OC(=O)CBr.Cc1ccc(F)cc1C1CC(=O)NC(c2cccc(Cl)c2)C12C(=O)Nc1cc(Cl)ccc12
51,COc1ccc2c(c1OC)CCC2=NO,COc1ccc2c(c1OC)CCC2=O.NO
52,Brc1ccc(OCc2ccccc2)cn1,OCc1ccccc1.Oc1ccc(Br)nc1
53,CSc1nc(CS(C)(=O)=O)cc(N2[C@@H](C)COC[C@H]2C)n1,CSc1nc(CS(C)(=O)=O)cc(OS(=O)(=O)C(F)(F)F)n1.C[C@H]1COC[C@@H](C)N1
54,O=[N+]([O-])c1ccccc1CCN1CCN(c2ccccc2)CC1,O=[N+]([O-])c1ccccc1CCBr.c1ccc(N2CCNCC2)cc1
55,C[C@H]1CC(=O)CC[C@H]1N1CCC(Cc2ccc(Cl)cc2Cl)C1=O,C[C@@H]1CC2(CC[C@@H]1N1CCC(Cc3ccc(Cl)cc3Cl)C1=O)OCCO2
56,CC(C)(C)OC(=O)N1CCC(C)(C(N)=O)CC1,CC(C)(C)OC(=O)N1CCC(C)(C(=O)O)CC1.On1nnc2ccccc21
57,O=C(Nc1nc2cc(CO)ccc2n1C[C@H]1CCCN1)c1ccc(C(F)F)s1,CC(C)(C)OC(=O)N1CCC[C@@H]1Cn1c(NC(=O)c2ccc(C(F)F)s2)nc2cc(CO)ccc21
58,C=C1CCN(C(=O)OC(C)(C)C)CC1C,CC1CN(C(=O)OC(C)(C)C)CCC1=O.[Li]CCCC
59,CC(O)C(C)(C)[C@@H]1CCOC(C)(C)O1,CC1(C)OCC[C@@H](C(C)(C)C=O)O1.C[Mg+]
60,CCOC(=O)C=CC(C)=CCO,CCOC(=O)C=CC(C)=CCOC(C)=O
61,CC(C)(C)OC(=O)N1CCN(Cc2cn(CC3(CO[Si](C)(C)C(C)(C)C)CCC3)c(=O)c3ccc(Br)cc23)CC1,CC(C)(C)OC(=O)N1CCN(Cc2c[nH]c(=O)c3ccc(Br)cc23)CC1.CC(C)(C)[Si](C)(C)OCC1(COS(C)(=O)=O)CCC1
62,Cn1ncnc1COc1nn2c(-c3ccccc3F)nncc2c1-c1cccc(C(F)(F)F)c1,Cn1ncnc1COc1nn2c(-c3ccccc3F)nncc2c1Br.OB(O)c1cccc(C(F)(F)F)c1
63,CCCN(C(=O)c1nc2ccccc2n1CCCCOC)[C@H]1C[C@@H](C(=O)N2CCOCC2)CN(C(=O)OC(C)(C)C)C1,CCCN(C(=O)c1nc2ccccc2[nH]1)[C@H]1C[C@@H](C(=O)N2CCOCC2)CN(C(=O)OC(C)(C)C)C1.COCCCCOS(C)(=O)=O
64,CCOC(=O)c1ccccc1-c1cccc(CBr)c1,CCOC(=O)c1cccc(-c2ccc(CBr)cc2)c1
65,CN(N)c1cc2c(cc1[N+](=O)[O-])c(=O)c(C(=O)O)cn2-c1cc(N)c(F)cc1F,CNN.Nc1cc(-n2cc(C(=O)O)c(=O)c3cc([N+](=O)[O-])c(F)cc32)c(F)cc1F
66,CC1(C)COc2ccc(Br)cc21,CC(C)(CCl)c1cc(Br)ccc1O
67,Cn1nccc1-c1ccc(C(=O)N[C@H](CN)Cc2ccccc2C(F)(F)F)cc1F,Cn1nccc1-c1ccc(C(=O)N[C@@H](Cc2ccccc2C(F)(F)F)CN2C(=O)c3ccccc3C2=O)cc1F
68,Cn1cncc1C(N)(c1ccoc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,Cn1cncc1C(Cl)(c1ccoc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C.N
69,N=C(N)Nc1ccc(C(CS)C(=O)O)cc1,CCOC(=O)C(CS)c1ccc(NC(=N)N)cc1
70,COc1ccc(F)cc1-c1ccc(S(=O)(=O)Nc2cccc(-c3nnn[nH]3)c2)s1,COc1ccc(F)cc1B(O)O.O=S(=O)(Nc1cccc(-c2nnn[nH]2)c1)c1ccc(Br)s1
71,N#Cc1ccc(NC(=O)c2nc3ccccc3o2)c(C(=O)O)c1,N#Cc1ccc(NC(=O)c2nc3ccccc3o2)c(C(=O)OCc2ccccc2)c1
72,COc1ccc(C2=C(c3ccc(F)cc3F)c3ccc(OCCCN4CCN(S(C)(=O)=O)CC4)cc3C2=O)cn1,COc1ccc(B(O)O)cn1.CS(=O)(=O)N1CCN(CCCOc2ccc3c(c2)C(=O)C(Br)=C3c2ccc(F)cc2F)CC1
73,CS(=O)(=O)Nc1cccc(-c2nnc(N)nc2-c2ccccc2)c1,CC1(C)OB(c2cccc(NS(C)(=O)=O)c2)OC1(C)C.Nc1nnc(Br)c(-c2ccccc2)n1
74,COc1ccc(N2CCN(CCCOc3cccc4ccccc34)CC2)cc1,BrCCCOc1cccc2ccccc12.COc1ccc(N2CCNCC2)cc1
75,O=C1OC(=O)C2C3CCC(C3)C12,O=C1OC(=O)C2C3C=CC(C3)C12
76,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1,Clc1cccc2c(CBr)csc12.OC(Cn1ccnc1)c1ccc(Cl)cc1Cl
77,COC(=O)C(OC(C)(C)C)c1cc([N+](=O)[O-])ccc1-c1ccc2c(c1)CCCO2,CC1(C)OB(c2ccc3c(c2)CCCO3)OC1(C)C.COC(=O)C(OC(C)(C)C)c1cc([N+](=O)[O-])ccc1Cl
78,[N-]=[N+]=NCCCC(=O)c1ccccc1,O=C(CCCCl)c1ccccc1.[N-]=[N+]=[N-]
79,O=c1ccc(-c2cnn(CCO)c2)nn1Cc1cccc(-c2ncc(OCCN3CCOCC3)cn2)c1,CC(=O)OCCn1cc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCCN5CCOCC5)cn4)c3)n2)cn1
80,COC(=O)c1cc(C(F)(F)F)ccc1Sc1ccccc1,CO.O=C(O)c1cc(C(F)(F)F)ccc1Sc1ccccc1
81,CC[C@H](C)[C@H](NC(=O)OC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2nccs2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)C,CC[C@H](C)[C@H](NC(=O)OC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(N)Cc1ccc(-c2nccs2)cc1.COC(=O)N[C@H](C(=O)O)C(C)C
82,COC(=O)c1ccc(NC(=O)c2ccc3c(c2)N(S(=O)(=O)c2cc(Cl)ccc2OC)CCO3)nc1,COC(=O)c1ccc(NC(=O)c2ccc3c(c2)NCCO3)nc1.COc1ccc(Cl)cc1S(=O)(=O)Cl
83,O=C(O)/C=C/c1ccc(CNC23CC4CC(CC(C4)C2)C3)cc1,COC(=O)/C=C/c1ccc(CNC23CC4CC(CC(C4)C2)C3)cc1
84,Cc1cn(-c2ccc3c(N)ncc(Br)c3c2)c2c1C(=O)CC(C)(C)C2,Cc1c[nH]c2c1C(=O)CC(C)(C)C2.Nc1ncc(Br)c2cc(F)ccc12
85,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCCN1CCOCC1,CC(C)CC(NC(CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)OC(C)(C)C)C(=O)NCCN1CCOCC1
86,Cc1ccoc1C(=O)Nc1cccc(C(=O)c2ccc3c(c2)NC(=O)C3=CNc2ccc(CCN3CCCC3)cc2)c1,Cc1ccoc1C(=O)Nc1cccc(C(=O)c2ccc3c(c2)NC(=O)C3=CO)c1.Nc1ccc(CCN2CCCC2)cc1
87,C=C(CN)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,C=C(CNC(=O)OC(C)(C)C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1
88,C=CCc1c(F)c(F)c(COC(=O)[C@@H]2[C@@H](C=C(C)C#N)C2(C)C)c(F)c1F,C=CCc1c(F)c(F)c(CO)c(F)c1F.CC(C#N)=C[C@@H]1[C@@H](C(=O)O)C1(C)C
89,CCCCN(CCCC)Cc1nc(-c2ncn3c2[C@@H]2CCN2C(=O)c2ccccc2-3)no1,CCCCNCCCC.O=C1c2ccccc2-n2cnc(-c3noc(CCl)n3)c2[C@@H]2CCN12
90,CS(=O)(=O)O[C@@H]1C[C@@H](c2csc(N)n2)N(C(=O)OCc2ccc([N+](=O)[O-])cc2)C1,CS(=O)(=O)O[C@@H]1C[C@@H](C(=O)CBr)N(C(=O)OCc2ccc([N+](=O)[O-])cc2)C1.NC(N)=S
91,Cc1cc(Nc2ncnc3cccc(OCCN)c23)ccc1O,Cc1cc(Nc2ncnc3cccc(F)c23)ccc1O.NCCO
92,Cc1cc(CC(NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)c2nccn2Cc2ccccc2)cc2cn[nH]c12,BrCc1ccccc1.Cc1cc(CC(NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)c2ncc[nH]2)cc2cn[nH]c12
93,CC(=O)O[C@@H]1O[C@H](C)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@@H]1O[C@H](CCl)[C@@H](OC(C)=O)[C@H]1OC(C)=O
94,O=C(N[C@@H](Cc1ccc(Cl)c(Cl)c1)C(=O)Nc1ccccc1)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12,Nc1ccccc1.O=C(N[C@@H](Cc1ccc(Cl)c(Cl)c1)C(=O)O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc2nsnc12
95,CN(Cc1cccc(Br)c1)S(=O)(=O)c1cccc(C(=O)O)c1,CNCc1cccc(Br)c1.O=C(O)c1cccc(S(=O)(=O)Cl)c1
96,CCC1(CCCCN2CCN(c3ccc(Cl)c(Cl)c3)CC2)C(=O)Nc2c(Cl)cc(Cl)cc21,CCC1(CCCCCl)C(=O)Nc2c(Cl)cc(Cl)cc21.Clc1ccc(N2CCNCC2)cc1Cl
97,Fc1cncc(Cl)c1N1CCNCC1,C1CNCCN1.Fc1cncc(Cl)c1I
98,C#CCOCC(=O)OCC,C#CCO.CCOC(=O)CBr
99,CC(C)CN(Cc1cc(Cl)cc(Cl)c1)C[C@@H]1CCCN1C(=O)OC(C)(C)C,CC(C)CNC[C@@H]1CCCN1C(=O)OC(C)(C)C.O=Cc1cc(Cl)cc(Cl)c1
100,N#CCc1cccc(NC(=O)c2cccc(-c3cccc(F)c3)n2)c1,N#CCc1cccc(NC(=O)c2cccc(Br)n2)c1.OB(O)c1cccc(F)c1
101,Cc1c(N(Cc2ccccc2)Cc2ccc(Oc3cccc(OCCCN4C(=O)c5ccccc5C4=O)c3)cc2)cccc1[N+](=O)[O-],Cc1c(N(Cc2ccccc2)Cc2ccc(Oc3cccc(O)c3)cc2)cccc1[N+](=O)[O-].O=C1c2ccccc2C(=O)N1CCCO
102,c1cnc2c(c1)CCCC2N(CCn1ccnc1)Cc1nc2ccccc2[nH]1,CC(C)(C)OC(=O)n1c(CN(CCn2ccnc2)C2CCCc3cccnc32)nc2ccccc21
103,Cc1cc(CN2C(=O)c3ccccc3C2=O)ccc1[N+](=O)[O-],Cc1cc(CCl)ccc1[N+](=O)[O-].O=C1NC(=O)c2ccccc21
104,C=CC(O)COS(=O)(=O)c1ccc(C)cc1,C=CC(O)CO.Cc1ccc(S(=O)(=O)Cl)cc1
105,CN(CCN1CCNC1=C(C#N)C#N)Cc1ccc(CN2CCCCC2)o1,C=O.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1
106,Nc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2CCCC(NC(=O)c3ccccc3)C2)n1,Nc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2CCCC(N)C2)n1.O=C(Cl)c1ccccc1
107,CCCn1c(COCC)nc2c(N)nc3ccc(OCCCCCCNC(=O)C(C)C)cc3c21,CC(C)C(=O)Cl.CCCn1c(COCC)nc2c(N)nc3ccc(OCCCCCCN)cc3c21
108,CCOC(=O)N1c2ccc(OCC)nc2[C@@H](Nc2ncc(N3CCOCC3)c(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)n2)C[C@H]1CC,CCI.CCOC(=O)N1c2ccc(O)nc2[C@@H](Nc2ncc(N3CCOCC3)c(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)n2)C[C@H]1CC
109,NC(=O)c1cc(-c2ccnc(Cl)c2)cc2c(C3CCS(=O)(=O)CC3)c[nH]c12,NC(=O)c1cc(Br)cc2c(C3CCS(=O)(=O)CC3)c[nH]c12.OB(O)c1ccnc(Cl)c1
110,FC(F)(F)c1ccc(N2CCOc3ccccc32)c(Br)c1,Fc1ccc(C(F)(F)F)cc1Br.c1ccc2c(c1)NCCO2
111,Cc1noc(-c2cc3c(O)cccc3o2)n1,COc1cccc2oc(-c3nc(C)no3)cc12
112,Cc1c(OC2CCCCO2)cc2c(c1C)OC(C)(CCC=O)CC2,Cc1c(OC2CCCCO2)cc2c(c1C)OC(C)(CCCO)CC2
113,CCc1cc(C)c(-c2cccc(C(=O)CC(=O)Nc3cc(C(F)(F)F)c(C)cc3NC(=O)OC(C)(C)C)c2)cn1,CCc1cc(C)c(-c2cccc(C(=O)CC(=O)OC(C)(C)C)c2)cn1.Cc1cc(NC(=O)OC(C)(C)C)c(N)cc1C(F)(F)F
114,CC(C)(C#N)c1ccc(Cc2c([N+](=O)[O-])cnc3ccc(-c4ccc(Oc5ccccc5)nc4)cc23)cc1,Brc1ccc(Oc2ccccc2)nc1.CC(C)(C#N)c1ccc(Cc2c([N+](=O)[O-])cnc3ccc(B4OC(C)(C)C(C)(C)O4)cc23)cc1
115,CNCc1ccc(C(=O)Cn2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)cc1,CN(Cc1ccc(C(=O)Cn2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)cc1)C(=O)C(F)(F)F
116,Cn1cc2c3c(c(Cl)cc2n1)CCC3=CCN,Cn1cc2c3c(c(Cl)cc2n1)CCC3=CC#N
117,N#Cc1ccc(N2CC[C@@H](Oc3cccc(C(=O)O)c3)C2=O)cc1,COC(=O)c1cccc(O[C@@H]2CCN(c3ccc(C#N)cc3)C2=O)c1
118,CC(C)(C)c1csc(COc2cccc(C(=O)Nc3cc(CCCS(=O)(=O)c4ccc(Cl)cc4)ccc3OCC#N)c2)n1,CC(C)(C)c1csc(COc2cccc(C(=O)Nc3cc(CCCS(=O)(=O)c4ccc(Cl)cc4)ccc3O)c2)n1.N#CCBr
119,CC(C)(C)OC[C@H](NC(=O)c1ccc(-c2cccc(NC(=O)OCC3c4ccccc4-c4ccccc43)c2)cc1)C(=O)OC(C)(C)C,CC(C)(C)OC[C@H](N)C(=O)OC(C)(C)C.O=C(Nc1cccc(-c2ccc(C(=O)O)cc2)c1)OCC1c2ccccc2-c2ccccc21
120,CN1CCCn2c1cc(OCCc1ccc(Oc3ccc(Cl)c(C(F)(F)F)c3)cc1)nc2=O,CN1CCCn2c1cc(Cl)nc2=O.OCCc1ccc(Oc2ccc(Cl)c(C(F)(F)F)c2)cc1
121,Oc1ccc2c(c1)O[C@@H](c1ccccc1)CC2,CC(C)[Si](Oc1ccc2c(c1)O[C@@H](c1ccccc1)CC2)(C(C)C)C(C)C
122,O=C(O)c1cnc2cc(C3CCCCC3)ccc2c1O,CCOC(=O)c1cnc2cc(C3CCCCC3)ccc2c1O
123,Nc1cc(C(=O)Nc2nnc(C(F)(F)F)s2)ccc1Sc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1,O=C(Nc1ccc(Sc2ccc(C(=O)Nc3nnc(C(F)(F)F)s3)cc2[N+](=O)[O-])cc1)OCC1c2ccccc2-c2ccccc21
124,O=C(NC[C@H]1CCCO1)c1ccc2c(C3CCCCC3)c3n(c2c1)CC(C(=O)N1CCC(N2CCOCC2)CC1)=Cc1ccccc1-3,NC[C@H]1CCCO1.O=C(O)c1ccc2c(C3CCCCC3)c3n(c2c1)CC(C(=O)N1CCC(N2CCOCC2)CC1)=Cc1ccccc1-3
125,O=C(NC[C@H]1CN(CC2CCc3c(F)cnc4ccc(=O)n2c34)C[C@H]1O)OCc1ccccc1,CS(=O)(=O)OCC1CCc2c(F)cnc3ccc(=O)n1c23.O=C(NC[C@H]1CNC[C@H]1O)OCc1ccccc1
126,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,CCS(=O)O.Cc1ncc([N+](=O)[O-])n1CCBr
127,N#CC1(NC(=O)[C@@H]2CC[C@@H](S(=O)(=O)c3ccc(N4CC5(COC5)C4)cc3Cl)C2)CC1,C1NCC12COC2.N#CC1(NC(=O)C2CCC(S(=O)(=O)c3ccc(F)cc3Cl)C2)CC1
128,CCOC(=O)Cn1ncc2c1CCCC2NS(=O)(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,CCOC(=O)Cn1ncc2c1CCCC2NS(=O)(=O)c1cccc(N)c1.O=S(=O)(Cl)c1ccccc1
129,CCCCCCC(=CC(=O)O)C(C)=O,CCCCCCCC(C)=O.O=CC(=O)O
130,CC(C)(C)OC(=O)Nc1ccccc1NC(=O)c1ccc(-c2ccnc(NCCCN3CCCCC3)n2)cc1,CC(C)(C)OC(=O)Nc1ccccc1NC(=O)c1ccc(-c2ccnc(Cl)n2)cc1.NCCCN1CCCCC1
131,CCOC(=O)c1cccc(NCc2ccc(C(=O)C(=O)OC)cc2)c1,CCOC(=O)c1cccc(N)c1.COC(=O)C(=O)c1ccc(CBr)cc1
132,CC(C)c1cc2cc(S(C)(=O)=O)cc(COS(C)(=O)=O)c2o1,CC(C)c1cc2cc(S(C)(=O)=O)cc(CO)c2o1.CS(=O)(=O)Cl
133,CC(C)(C)OC(=O)Nc1ccc(C#Cc2nccs2)cc1[N+](=O)[O-],Brc1nccs1.C#Cc1ccc(NC(=O)OC(C)(C)C)c([N+](=O)[O-])c1
134,Cc1n[nH]c(C)c1[C@H](C)NC(=O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,Cc1n[nH]c(C)c1C(C)N.Cn1nc(-c2ccccc2)c2c(C(F)(F)F)cc(OCC(=O)O)nc21
